type,flavor,state,index type,year,index
1,0,1,index_nsa,1975,200.74
1,0,1,index_nsa,1976,295.63
1,0,1,index_nsa,1977,313.37
1,0,1,index_nsa,1978,344.02
1,0,1,index_nsa,1979,379.99
1,0,1,index_nsa,1980,351.3
1,0,1,index_nsa,1981,443.39
1,0,1,index_nsa,1982,544.94
1,0,1,index_nsa,1983,571.59
1,0,1,index_nsa,1984,604.54
1,0,1,index_nsa,1985,577.14
1,0,1,index_nsa,1986,565.12
1,0,1,index_nsa,1987,478.84
1,0,1,index_nsa,1988,494.49
1,0,1,index_nsa,1989,438.98
1,0,1,index_nsa,1990,453.01
1,0,1,index_nsa,1991,513.94
1,0,1,index_nsa,1992,538.02
1,0,1,index_nsa,1993,548.88
1,0,1,index_nsa,1994,573.65
1,0,1,index_nsa,1995,597.87
1,0,1,index_nsa,1996,624.87
1,0,1,index_nsa,1997,642.33
1,0,1,index_nsa,1998,662.4
1,0,1,index_nsa,1999,685.45
1,0,1,index_nsa,2000,696.96
1,0,1,index_nsa,2001,731.95
1,0,1,index_nsa,2002,771.83
1,0,1,index_nsa,2003,809.96
1,0,1,index_nsa,2004,891.39
1,0,1,index_nsa,2005,1001.5
1,0,1,index_nsa,2006,1099.92
1,0,1,index_nsa,2007,1143.16
1,0,1,index_nsa,2008,1138.34
1,0,1,index_nsa,2009,1132.64
1,0,1,index_nsa,2010,1126.21
1,0,1,index_nsa,2011,1135.51
1,0,1,index_nsa,2012,1140.63
1,0,1,index_nsa,2013,1174.99
1,0,1,index_nsa,2014,1198.87
1,0,1,index_nsa,2015,1238.91
1,0,1,index_nsa,2016,1262.97
1,0,1,index_nsa,2017,1279.09
1,0,1,index_nsa,2018,1291.59
1,0,1,index_nsa,2019,1321.65
1,0,1,index_nsa,2020,1365.7
1,0,1,index_nsa,2021,1479.27
1,0,1,index_nsa,2022,811.82
1,1,1,index_nsa,1975,0
1,1,1,index_nsa,1976,0
1,1,1,index_nsa,1977,0
1,1,1,index_nsa,1978,0
1,1,1,index_nsa,1979,0
1,1,1,index_nsa,1980,0
1,1,1,index_nsa,1981,0
1,1,1,index_nsa,1982,0
1,1,1,index_nsa,1983,0
1,1,1,index_nsa,1984,0
1,1,1,index_nsa,1985,0
1,1,1,index_nsa,1986,0
1,1,1,index_nsa,1987,0
1,1,1,index_nsa,1988,0
1,1,1,index_nsa,1989,0
1,1,1,index_nsa,1990,0
1,1,1,index_nsa,1991,401.36
1,1,1,index_nsa,1992,413.61
1,1,1,index_nsa,1993,427.05
1,1,1,index_nsa,1994,450.66
1,1,1,index_nsa,1995,469.95
1,1,1,index_nsa,1996,491.05
1,1,1,index_nsa,1997,504.28
1,1,1,index_nsa,1998,525.87
1,1,1,index_nsa,1999,541.89
1,1,1,index_nsa,2000,560.47
1,1,1,index_nsa,2001,597.21
1,1,1,index_nsa,2002,636.65
1,1,1,index_nsa,2003,683.25
1,1,1,index_nsa,2004,742.6
1,1,1,index_nsa,2005,826.64
1,1,1,index_nsa,2006,894.96
1,1,1,index_nsa,2007,923.69
1,1,1,index_nsa,2008,909.47
1,1,1,index_nsa,2009,906.46
1,1,1,index_nsa,2010,903.13
1,1,1,index_nsa,2011,906.32
1,1,1,index_nsa,2012,916.23
1,1,1,index_nsa,2013,941.12
1,1,1,index_nsa,2014,964.75
1,1,1,index_nsa,2015,1000.81
1,1,1,index_nsa,2016,1025.72
1,1,1,index_nsa,2017,1030.38
1,1,1,index_nsa,2018,1042.01
1,1,1,index_nsa,2019,1077.29
1,1,1,index_nsa,2020,1128.14
1,1,1,index_nsa,2021,1250.68
1,1,1,index_nsa,2022,675.4
1,2,1,index_nsa,1975,0
1,2,1,index_nsa,1976,0
1,2,1,index_nsa,1977,0
1,2,1,index_nsa,1978,0
1,2,1,index_nsa,1979,0
1,2,1,index_nsa,1980,0
1,2,1,index_nsa,1981,0
1,2,1,index_nsa,1982,0
1,2,1,index_nsa,1983,0
1,2,1,index_nsa,1984,0
1,2,1,index_nsa,1985,0
1,2,1,index_nsa,1986,0
1,2,1,index_nsa,1987,0
1,2,1,index_nsa,1988,0
1,2,1,index_nsa,1989,0
1,2,1,index_nsa,1990,0
1,2,1,index_nsa,1991,405.7
1,2,1,index_nsa,1992,416.92
1,2,1,index_nsa,1993,431.07
1,2,1,index_nsa,1994,447.64
1,2,1,index_nsa,1995,466.42
1,2,1,index_nsa,1996,485.75
1,2,1,index_nsa,1997,499.02
1,2,1,index_nsa,1998,516.99
1,2,1,index_nsa,1999,532.79
1,2,1,index_nsa,2000,544.96
1,2,1,index_nsa,2001,580.31
1,2,1,index_nsa,2002,618.32
1,2,1,index_nsa,2003,663.96
1,2,1,index_nsa,2004,727.76
1,2,1,index_nsa,2005,806.77
1,2,1,index_nsa,2006,870.98
1,2,1,index_nsa,2007,900.21
1,2,1,index_nsa,2008,892.47
1,2,1,index_nsa,2009,875.13
1,2,1,index_nsa,2010,878.89
1,2,1,index_nsa,2011,897.37
1,2,1,index_nsa,2012,896.85
1,2,1,index_nsa,2013,922.07
1,2,1,index_nsa,2014,942.79
1,2,1,index_nsa,2015,972.17
1,2,1,index_nsa,2016,991.79
1,2,1,index_nsa,2017,1004.28
1,2,1,index_nsa,2018,1022.58
1,2,1,index_nsa,2019,1058.46
1,2,1,index_nsa,2020,1107.49
1,2,1,index_nsa,2021,1226.26
1,2,1,index_nsa,2022,658.44
0,0,1,index_nsa,1975,0
0,0,1,index_nsa,1976,0
0,0,1,index_nsa,1977,0
0,0,1,index_nsa,1978,0
0,0,1,index_nsa,1979,0
0,0,1,index_nsa,1980,0
0,0,1,index_nsa,1981,0
0,0,1,index_nsa,1982,0
0,0,1,index_nsa,1983,0
0,0,1,index_nsa,1984,0
0,0,1,index_nsa,1985,0
0,0,1,index_nsa,1986,0
0,0,1,index_nsa,1987,0
0,0,1,index_nsa,1988,0
0,0,1,index_nsa,1989,0
0,0,1,index_nsa,1990,0
0,0,1,index_nsa,1991,0
0,0,1,index_nsa,1992,0
0,0,1,index_nsa,1993,0
0,0,1,index_nsa,1994,0
0,0,1,index_nsa,1995,410.53
0,0,1,index_nsa,1996,435.88
0,0,1,index_nsa,1997,445.46
0,0,1,index_nsa,1998,450.99
0,0,1,index_nsa,1999,463.56
0,0,1,index_nsa,2000,470.49
0,0,1,index_nsa,2001,486.96
0,0,1,index_nsa,2002,497.56
0,0,1,index_nsa,2003,514.19
0,0,1,index_nsa,2004,556.47
0,0,1,index_nsa,2005,624.41
