type,flavor,state,index type,year,index
traditional,all-transactions,Alaska,index_nsa,1975,200.74
traditional,all-transactions,Alaska,index_nsa,1976,295.63
traditional,all-transactions,Alaska,index_nsa,1977,313.37
traditional,all-transactions,Alaska,index_nsa,1978,344.02
traditional,all-transactions,Alaska,index_nsa,1979,379.99
traditional,all-transactions,Alaska,index_nsa,1980,351.3
traditional,all-transactions,Alaska,index_nsa,1981,443.39
traditional,all-transactions,Alaska,index_nsa,1982,544.94
traditional,all-transactions,Alaska,index_nsa,1983,571.59
traditional,all-transactions,Alaska,index_nsa,1984,604.54
traditional,all-transactions,Alaska,index_nsa,1985,577.14
traditional,all-transactions,Alaska,index_nsa,1986,565.12
traditional,all-transactions,Alaska,index_nsa,1987,478.84
traditional,all-transactions,Alaska,index_nsa,1988,494.49
traditional,all-transactions,Alaska,index_nsa,1989,438.98
traditional,all-transactions,Alaska,index_nsa,1990,453.01
traditional,all-transactions,Alaska,index_nsa,1991,513.94
traditional,all-transactions,Alaska,index_nsa,1992,538.02
traditional,all-transactions,Alaska,index_nsa,1993,548.88
traditional,all-transactions,Alaska,index_nsa,1994,573.65
traditional,all-transactions,Alaska,index_nsa,1995,597.87
traditional,all-transactions,Alaska,index_nsa,1996,624.87
traditional,all-transactions,Alaska,index_nsa,1997,642.33
traditional,all-transactions,Alaska,index_nsa,1998,662.4
traditional,all-transactions,Alaska,index_nsa,1999,685.45
traditional,all-transactions,Alaska,index_nsa,2000,696.96
traditional,all-transactions,Alaska,index_nsa,2001,731.95
traditional,all-transactions,Alaska,index_nsa,2002,771.83
traditional,all-transactions,Alaska,index_nsa,2003,809.96
traditional,all-transactions,Alaska,index_nsa,2004,891.39
traditional,all-transactions,Alaska,index_nsa,2005,1001.5
traditional,all-transactions,Alaska,index_nsa,2006,1099.92
traditional,all-transactions,Alaska,index_nsa,2007,1143.16
traditional,all-transactions,Alaska,index_nsa,2008,1138.34
traditional,all-transactions,Alaska,index_nsa,2009,1132.64
traditional,all-transactions,Alaska,index_nsa,2010,1126.21
traditional,all-transactions,Alaska,index_nsa,2011,1135.51
traditional,all-transactions,Alaska,index_nsa,2012,1140.63
traditional,all-transactions,Alaska,index_nsa,2013,1174.99
traditional,all-transactions,Alaska,index_nsa,2014,1198.87
traditional,all-transactions,Alaska,index_nsa,2015,1238.91
traditional,all-transactions,Alaska,index_nsa,2016,1262.97
traditional,all-transactions,Alaska,index_nsa,2017,1279.09
traditional,all-transactions,Alaska,index_nsa,2018,1291.59
traditional,all-transactions,Alaska,index_nsa,2019,1321.65
traditional,all-transactions,Alaska,index_nsa,2020,1365.7
traditional,all-transactions,Alaska,index_nsa,2021,1479.27
traditional,all-transactions,Alaska,index_nsa,2022,811.82
traditional,expanded-data,Alaska,index_nsa,1975,0
traditional,expanded-data,Alaska,index_nsa,1976,0
traditional,expanded-data,Alaska,index_nsa,1977,0
traditional,expanded-data,Alaska,index_nsa,1978,0
traditional,expanded-data,Alaska,index_nsa,1979,0
traditional,expanded-data,Alaska,index_nsa,1980,0
traditional,expanded-data,Alaska,index_nsa,1981,0
traditional,expanded-data,Alaska,index_nsa,1982,0
traditional,expanded-data,Alaska,index_nsa,1983,0
traditional,expanded-data,Alaska,index_nsa,1984,0
traditional,expanded-data,Alaska,index_nsa,1985,0
traditional,expanded-data,Alaska,index_nsa,1986,0
traditional,expanded-data,Alaska,index_nsa,1987,0
traditional,expanded-data,Alaska,index_nsa,1988,0
traditional,expanded-data,Alaska,index_nsa,1989,0
traditional,expanded-data,Alaska,index_nsa,1990,0
traditional,expanded-data,Alaska,index_nsa,1991,401.36
traditional,expanded-data,Alaska,index_nsa,1992,413.61
traditional,expanded-data,Alaska,index_nsa,1993,427.05
traditional,expanded-data,Alaska,index_nsa,1994,450.66
traditional,expanded-data,Alaska,index_nsa,1995,469.95
traditional,expanded-data,Alaska,index_nsa,1996,491.05
traditional,expanded-data,Alaska,index_nsa,1997,504.28
traditional,expanded-data,Alaska,index_nsa,1998,525.87
traditional,expanded-data,Alaska,index_nsa,1999,541.89
traditional,expanded-data,Alaska,index_nsa,2000,560.47
traditional,expanded-data,Alaska,index_nsa,2001,597.21
traditional,expanded-data,Alaska,index_nsa,2002,636.65
traditional,expanded-data,Alaska,index_nsa,2003,683.25
traditional,expanded-data,Alaska,index_nsa,2004,742.6
traditional,expanded-data,Alaska,index_nsa,2005,826.64
traditional,expanded-data,Alaska,index_nsa,2006,894.96
traditional,expanded-data,Alaska,index_nsa,2007,923.69
traditional,expanded-data,Alaska,index_nsa,2008,909.47
traditional,expanded-data,Alaska,index_nsa,2009,906.46
traditional,expanded-data,Alaska,index_nsa,2010,903.13
traditional,expanded-data,Alaska,index_nsa,2011,906.32
traditional,expanded-data,Alaska,index_nsa,2012,916.23
traditional,expanded-data,Alaska,index_nsa,2013,941.12
traditional,expanded-data,Alaska,index_nsa,2014,964.75
